cohort,hgrades,hgrades_c,Cgrades,bparented,bparented_c,pell,hapcl,hapcl_c,hprecalc13,hprecalc13_c,hchallenge,hchallenge_c,cSFcareer,cSFcareer_c,hacadpr13,hacadpr13_c,tcare,tcare_c,firstgen,re_all,living18,sex,StemMaj,StemMaj_c,trnsfr_cr,x_FASt,credit_dose,credit_dose_c,XZ_c,r,r_minus,r_plus,sbmyself,sbvalued,sbcommunity,pgthink,pganalyze,pgwork,pgvalues,pgprobsolve,SEwellness,SEnonacad,SEactivities,SEacademic,SEdiverse,evalexp,sameinst,MHWdacad,MHWdlonely,MHWdmental,MHWdexhaust,MHWdsleep,MHWdfinancial,QIstudent,QIadvisor,QIfaculty,QIstaff,QIadmin,id,DE_group_temp,hdc17,DC_student
1,5,-1.5270000000000001,6,7,0.9551999999999996,0,0,-0.2468,0,-0.3436,3,-1.4880000000000004,1,-1.3010000000000002,13,3.2376000000000005,0,-2.9496,1,White,With family (commuting),Male,0,-0.2482,11,0,0.0,-0.5745506169396439,-0.0,29,2.4,3.4,3,3,3,3,3,4,4,4,3,4,3,3,3,4,4,1.0,2.0,2.0,2.0,2.0,1.0,6.0,6.0,6.0,6.0,6.0,511,1,1,0
0,6,-0.5270000000000001,7,6,-0.044800000000000395,0,1,0.7532,0,-0.3436,6,1.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,0,Other/Multiracial/Unknown,On-campus (residence hall),Female,1,0.7518,6,0,0.0,-0.5745506169396439,-0.0,-10,-1.5,-0.5,3,3,3,3,4,4,4,4,2,2,2,2,3,3,2,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,512,1,1,0
1,6,-0.5270000000000001,6,7,0.9551999999999996,1,0,-0.2468,0,-0.3436,3,-1.4880000000000004,1,-1.3010000000000002,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,18,1,0.6498294586762732,0.07527884173662924,0.07527884173662924,12,0.7,1.7,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,3.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,513,2,7,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,1,0,-0.2468,1,0.6564,5,0.5119999999999996,1,-1.3010000000000002,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,6,0,0.0,-0.5745506169396439,-0.0,-12,-1.7,-0.7,3,4,3,4,4,4,4,3,2,3,2,3,2,3,3,,3.0,3.0,2.0,3.0,2.0,5.0,6.0,6.0,5.0,5.0,514,1,1,0
1,7,0.47299999999999986,7,6,-0.044800000000000395,1,0,-0.2468,1,0.6564,5,0.5119999999999996,3,0.6989999999999998,13,3.2376000000000005,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,5,0,0.0,-0.5745506169396439,-0.0,17,1.2,2.2,2,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,515,1,2,1
0,6,-0.5270000000000001,7,6,-0.044800000000000395,0,1,0.7532,0,-0.3436,5,0.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Other/Multiracial/Unknown,On-campus (residence hall),Female,1,0.7518,9,0,0.0,-0.5745506169396439,-0.0,30,2.5,3.5,4,4,4,4,3,3,3,4,3,4,4,3,3,3,3,3.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,516,1,2,1
1,5,-1.5270000000000001,5,6,-0.044800000000000395,1,1,0.7532,0,-0.3436,5,0.5119999999999996,1,-1.3010000000000002,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,3,0,0.0,-0.5745506169396439,-0.0,-5,-1.0,0.0,4,4,4,2,3,3,2,3,3,3,3,3,3,3,3,,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,517,1,1,0
1,6,-0.5270000000000001,7,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,8,-1.7623999999999995,0,-2.9496,0,Asian,With family (commuting),Female,0,-0.2482,0,0,0.0,-0.5745506169396439,-0.0,0,-0.5,0.5,1,2,1,3,3,3,3,3,4,4,3,3,3,4,4,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,518,0,2,1
0,7,0.47299999999999986,7,7,0.9551999999999996,0,0,-0.2468,1,0.6564,6,1.5119999999999996,3,0.6989999999999998,18,8.2376,0,-2.9496,0,Asian,With family (commuting),Female,0,-0.2482,2,0,0.0,-0.5745506169396439,-0.0,2,-0.3,0.7,1,2,2,3,4,3,3,3,2,3,3,2,2,3,3,3.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,519,1,1,0
0,7,0.47299999999999986,7,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,2,-0.30100000000000016,3,-6.7623999999999995,3,0.05039999999999978,0,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,3,0,0.0,-0.5745506169396439,-0.0,16,1.1,2.1,4,3,4,3,4,4,4,4,4,3,3,4,3,3,3,3.0,2.0,3.0,2.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,520,1,2,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,0,1,0.7532,0,-0.3436,4,-0.48800000000000043,3,0.6989999999999998,18,8.2376,0,-2.9496,0,White,Off-campus (rent/apartment),Male,1,0.7518,15,1,0.3578103777983138,-0.21674023914133012,-0.21674023914133012,2,-0.3,0.7,4,4,4,3,3,3,3,3,3,3,3,2,3,4,4,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,521,2,6,1
1,6,-0.5270000000000001,7,7,0.9551999999999996,1,0,-0.2468,1,0.6564,5,0.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,1,White,Off-campus (rent/apartment),Female,0,-0.2482,13,1,0.19658666806267072,-0.3779639488769732,-0.3779639488769732,7,0.19999999999999996,1.2,1,1,1,3,3,3,3,3,2,2,2,2,2,3,2,2.0,3.0,3.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,522,2,6,1
0,7,0.47299999999999986,7,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,1,0.7518,26,1,1.4918041582971988,0.9172535413575549,0.9172535413575549,7,0.19999999999999996,1.2,4,4,4,3,4,4,3,4,3,3,3,3,3,4,4,4.0,4.0,4.0,4.0,4.0,3.0,6.0,6.0,6.0,6.0,5.0,523,2,6,1
1,8,1.4729999999999999,7,8,1.9551999999999996,0,1,0.7532,0,-0.3436,3,-1.4880000000000004,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,4,0,0.0,-0.5745506169396439,-0.0,9,0.4,1.4,1,2,1,3,4,4,4,3,2,2,2,2,2,3,3,3.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,6.0,6.0,524,1,2,1
1,6,-0.5270000000000001,6,7,0.9551999999999996,0,0,-0.2468,0,-0.3436,3,-1.4880000000000004,3,0.6989999999999998,18,8.2376,8,5.0504,0,Asian,Off-campus (rent/apartment),Male,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,-15,-2.0,-1.0,2,3,2,2,2,1,2,2,2,3,2,2,1,2,3,4.0,4.0,,5.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,525,1,3,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,0,1,0.7532,0,-0.3436,4,-0.48800000000000043,3,0.6989999999999998,13,3.2376000000000005,0,-2.9496,0,White,On-campus (residence hall),Male,0,-0.2482,8,0,0.0,-0.5745506169396439,-0.0,14,0.8999999999999999,1.9,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,5.0,5.0,5.0,526,1,3,1
0,6,-0.5270000000000001,6,6,-0.044800000000000395,0,0,-0.2468,1,0.6564,4,-0.48800000000000043,2,-0.30100000000000016,8,-1.7623999999999995,0,-2.9496,0,White,Off-campus (rent/apartment),Female,0,-0.2482,11,0,0.0,-0.5745506169396439,-0.0,-9,-1.4,-0.4,1,1,1,2,2,1,2,2,2,2,1,2,2,3,3,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,527,1,3,1
1,8,1.4729999999999999,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,4,1.6989999999999998,3,-6.7623999999999995,3,0.05039999999999978,0,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,1,0,0.0,-0.5745506169396439,-0.0,-9,-1.4,-0.4,3,3,3,4,3,4,3,4,3,3,4,3,2,3,3,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,528,1,2,1
0,6,-0.5270000000000001,6,6,-0.044800000000000395,0,0,-0.2468,1,0.6564,4,-0.48800000000000043,3,0.6989999999999998,8,-1.7623999999999995,0,-2.9496,1,Black/African American,On-campus (residence hall),Female,1,0.7518,7,0,0.0,-0.5745506169396439,-0.0,16,1.1,2.1,3,4,3,4,3,3,4,3,3,3,3,3,2,4,4,4.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,6.0,7.0,6.0,529,1,3,1
1,7,0.47299999999999986,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,6,1.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,3,0.05039999999999978,0,Other/Multiracial/Unknown,With family (commuting),Male,0,-0.2482,4,0,0.0,-0.5745506169396439,-0.0,12,0.7,1.7,2,2,2,4,4,3,2,3,3,2,3,3,3,3,3,2.0,2.0,2.0,3.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,530,1,2,1
1,6,-0.5270000000000001,6,5,-1.0448000000000004,1,1,0.7532,0,-0.3436,7,2.5119999999999996,1,-1.3010000000000002,3,-6.7623999999999995,3,0.05039999999999978,1,White,Off-campus (rent/apartment),Female,0,-0.2482,7,0,0.0,-0.5745506169396439,-0.0,-2,-0.7,0.3,2,2,2,3,3,3,4,3,2,3,2,3,3,3,3,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,4.0,531,1,2,1
0,8,1.4729999999999999,7,6,-0.044800000000000395,1,0,-0.2468,1,0.6564,4,-0.48800000000000043,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,0,Black/African American,Off-campus (rent/apartment),Male,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,23,1.7999999999999998,2.8,3,3,3,3,3,3,2,2,2,3,2,3,2,3,2,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,532,1,2,1
1,6,-0.5270000000000001,7,7,0.9551999999999996,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,1,-1.3010000000000002,3,-6.7623999999999995,8,5.0504,1,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,2,0,0.0,-0.5745506169396439,-0.0,5,0.0,1.0,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,2.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,4.0,4.0,5.0,533,1,2,1
0,7,0.47299999999999986,6,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,4,-0.48800000000000043,2,-0.30100000000000016,13,3.2376000000000005,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,18,1,0.6101999561170217,0.03564933917737778,0.03564933917737778,-9,-1.4,-0.4,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,2.0,,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,534,2,6,1
1,7,0.47299999999999986,7,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,3,-1.4880000000000004,2,-0.30100000000000016,3,-6.7623999999999995,8,5.0504,0,Black/African American,Off-campus (rent/apartment),Male,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,-3,-0.8,0.2,2,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,535,1,1,0
0,7,0.47299999999999986,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,4,1.6989999999999998,28,18.2376,8,5.0504,1,White,Off-campus (rent/apartment),Female,0,-0.2482,27,1,1.593384474546983,1.018833857607339,1.018833857607339,19,1.4,2.4,1,1,2,3,1,3,2,2,2,2,2,2,2,2,2,,,4.0,4.0,,4.0,5.0,5.0,,5.0,5.0,536,2,7,1
0,5,-1.5270000000000001,7,7,0.9551999999999996,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,1,-1.3010000000000002,13,3.2376000000000005,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,34,2.9,3.9,3,3,3,3,3,3,3,3,4,3,4,2,3,2,2,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,537,1,1,0
1,6,-0.5270000000000001,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,7,2.5119999999999996,2,-0.30100000000000016,8,-1.7623999999999995,3,0.05039999999999978,1,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,3,0,0.0,-0.5745506169396439,-0.0,25,2.0,3.0,3,3,3,3,4,3,4,4,3,2,2,3,3,4,4,3.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,5.0,6.0,,538,1,1,0
1,7,0.47299999999999986,6,7,0.9551999999999996,0,1,0.7532,0,-0.3436,4,-0.48800000000000043,1,-1.3010000000000002,18,8.2376,0,-2.9496,0,Asian,With family (commuting),Male,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,24,1.9,2.9,2,2,2,3,3,3,3,3,3,4,3,3,4,2,2,6.0,5.0,5.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,539,1,3,1
0,8,1.4729999999999999,7,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,4,1.6989999999999998,3,-6.7623999999999995,0,-2.9496,0,Asian,With family (commuting),Female,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,28,2.3,3.3,4,4,4,4,4,3,4,3,3,3,2,3,3,4,4,2.0,2.0,,3.0,2.0,2.0,7.0,7.0,7.0,7.0,6.0,540,1,2,1
1,5,-1.5270000000000001,7,8,1.9551999999999996,0,1,0.7532,1,0.6564,4,-0.48800000000000043,3,0.6989999999999998,8,-1.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,1,0.7518,7,0,0.0,-0.5745506169396439,-0.0,-3,-0.8,0.2,4,4,4,3,3,2,3,4,3,4,2,2,3,4,4,2.0,3.0,2.0,2.0,2.0,3.0,7.0,7.0,6.0,6.0,6.0,541,1,1,0
1,6,-0.5270000000000001,6,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,6,1.5119999999999996,3,0.6989999999999998,8,-1.7623999999999995,23,20.0504,0,Black/African American,Off-campus (rent/apartment),Male,0,-0.2482,22,1,1.0091057677629742,0.4345551508233303,0.4345551508233303,-11,-1.6,-0.6000000000000001,2,2,2,3,3,3,3,2,2,3,3,3,2,3,3,,3.0,4.0,3.0,4.0,,6.0,6.0,6.0,7.0,,542,2,7,1
1,8,1.4729999999999999,7,7,0.9551999999999996,0,0,-0.2468,1,0.6564,4,-0.48800000000000043,1,-1.3010000000000002,3,-6.7623999999999995,0,-2.9496,0,Asian,With family (commuting),Male,0,-0.2482,27,1,1.574409171675677,0.999858554736033,0.999858554736033,11,0.6000000000000001,1.6,1,2,1,3,4,3,3,3,4,3,3,4,3,4,4,3.0,,4.0,4.0,4.0,4.0,7.0,6.0,7.0,6.0,6.0,543,2,5,1
1,7,0.47299999999999986,7,6,-0.044800000000000395,0,0,-0.2468,1,0.6564,7,2.5119999999999996,3,0.6989999999999998,18,8.2376,3,0.05039999999999978,0,White,Off-campus (rent/apartment),Male,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,-11,-1.6,-0.6000000000000001,2,2,2,2,1,2,2,1,3,2,2,3,3,3,3,5.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,6.0,6.0,544,1,2,1
1,7,0.47299999999999986,7,7,0.9551999999999996,1,0,-0.2468,1,0.6564,4,-0.48800000000000043,3,0.6989999999999998,3,-6.7623999999999995,3,0.05039999999999978,0,Other/Multiracial/Unknown,Off-campus (rent/apartment),Female,0,-0.2482,2,0,0.0,-0.5745506169396439,-0.0,2,-0.3,0.7,2,2,3,3,2,3,2,2,4,4,3,4,3,4,4,3.0,3.0,4.0,4.0,3.0,3.0,6.0,6.0,6.0,7.0,6.0,545,1,1,0
1,7,0.47299999999999986,7,6,-0.044800000000000395,0,0,-0.2468,1,0.6564,6,1.5119999999999996,3,0.6989999999999998,28,18.2376,3,0.05039999999999978,0,Black/African American,On-campus (residence hall),Female,1,0.7518,3,0,0.0,-0.5745506169396439,-0.0,17,1.2,2.2,2,2,2,3,2,3,2,2,3,3,3,3,3,3,3,2.0,2.0,3.0,3.0,3.0,2.0,6.0,5.0,5.0,5.0,5.0,546,1,3,1
1,7,0.47299999999999986,7,7,0.9551999999999996,1,1,0.7532,0,-0.3436,2,-2.4880000000000004,2,-0.30100000000000016,8,-1.7623999999999995,0,-2.9496,0,White,With family (commuting),Female,0,-0.2482,11,0,0.0,-0.5745506169396439,-0.0,-6,-1.1,-0.09999999999999998,2,2,2,3,4,3,3,3,2,2,4,3,3,3,3,5.0,4.0,4.0,3.0,3.0,,6.0,5.0,5.0,5.0,5.0,547,1,2,1
0,8,1.4729999999999999,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,1,-1.3010000000000002,13,3.2376000000000005,0,-2.9496,1,Other/Multiracial/Unknown,On-campus (residence hall),Female,0,-0.2482,4,0,0.0,-0.5745506169396439,-0.0,28,2.3,3.3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,3,3.0,3.0,2.0,3.0,2.0,,5.0,4.0,,4.0,4.0,548,1,2,1
0,7,0.47299999999999986,7,6,-0.044800000000000395,0,0,-0.2468,1,0.6564,3,-1.4880000000000004,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,0,White,On-campus (residence hall),Female,0,-0.2482,42,1,3.0247120040904094,2.4501613871507653,2.4501613871507653,25,2.0,3.0,4,4,4,2,2,2,2,2,4,4,4,3,3,3,3,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,549,2,4,1
0,6,-0.5270000000000001,6,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,2,-0.30100000000000016,13,3.2376000000000005,3,0.05039999999999978,0,Hispanic/Latino,With family (commuting),Female,0,-0.2482,0,0,0.0,-0.5745506169396439,-0.0,5,0.0,1.0,3,4,3,3,2,2,3,3,3,2,3,3,3,3,3,,,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,550,0,1,0
0,6,-0.5270000000000001,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,18,8.2376,0,-2.9496,1,Asian,Off-campus (rent/apartment),Female,1,0.7518,7,0,0.0,-0.5745506169396439,-0.0,25,2.0,3.0,2,2,2,2,2,2,2,2,2,1,3,1,1,2,3,5.0,5.0,5.0,5.0,5.0,,3.0,3.0,3.0,3.0,4.0,551,1,1,0
1,5,-1.5270000000000001,7,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,3,-1.4880000000000004,3,0.6989999999999998,8,-1.7623999999999995,8,5.0504,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,26,2.1,3.1,3,4,3,3,3,3,2,2,3,2,2,4,3,2,2,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,4.0,4.0,552,1,2,1
0,7,0.47299999999999986,7,7,0.9551999999999996,0,0,-0.2468,0,-0.3436,4,-0.48800000000000043,3,0.6989999999999998,8,-1.7623999999999995,8,5.0504,1,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,-7,-1.2,-0.19999999999999996,3,2,2,2,2,2,2,2,3,3,1,3,3,3,3,3.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,5.0,6.0,6.0,553,1,3,1
1,5,-1.5270000000000001,7,6,-0.044800000000000395,1,0,-0.2468,1,0.6564,3,-1.4880000000000004,1,-1.3010000000000002,3,-6.7623999999999995,8,5.0504,1,Hispanic/Latino,With family (commuting),Female,1,0.7518,7,0,0.0,-0.5745506169396439,-0.0,8,0.30000000000000004,1.3,2,3,3,3,3,3,2,2,2,2,2,2,2,3,3,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,554,1,1,0
1,8,1.4729999999999999,7,8,1.9551999999999996,0,0,-0.2468,1,0.6564,3,-1.4880000000000004,2,-0.30100000000000016,0,-9.7624,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,-12,-1.7,-0.7,3,2,2,3,3,2,3,3,3,2,3,2,2,3,3,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,555,1,2,1
1,6,-0.5270000000000001,7,7,0.9551999999999996,1,1,0.7532,0,-0.3436,4,-0.48800000000000043,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Other/Multiracial/Unknown,Off-campus (rent/apartment),Female,0,-0.2482,80,1,6.8,6.225449383060356,6.225449383060356,0,-0.5,0.5,3,2,2,2,2,2,2,3,4,4,3,3,4,3,3,3.0,3.0,3.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,556,2,7,1
1,5,-1.5270000000000001,7,6,-0.044800000000000395,0,0,-0.2468,1,0.6564,2,-2.4880000000000004,2,-0.30100000000000016,8,-1.7623999999999995,0,-2.9496,0,Other/Multiracial/Unknown,On-campus (residence hall),Female,1,0.7518,7,0,0.0,-0.5745506169396439,-0.0,2,-0.3,0.7,3,3,3,3,3,3,3,2,2,3,2,3,2,4,4,3.0,3.0,3.0,3.0,,3.0,5.0,5.0,5.0,6.0,5.0,557,1,2,1
0,7,0.47299999999999986,7,8,1.9551999999999996,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,15,1,0.3880469535213257,-0.18650366341831826,-0.18650366341831826,33,2.8,3.8,4,4,4,2,3,3,3,2,3,3,3,3,2,4,3,2.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,558,2,7,1
0,7,0.47299999999999986,7,5,-1.0448000000000004,0,1,0.7532,1,0.6564,5,0.5119999999999996,1,-1.3010000000000002,35,25.2376,0,-2.9496,0,Asian,With family (commuting),Male,1,0.7518,1,0,0.0,-0.5745506169396439,-0.0,-8,-1.3,-0.30000000000000004,3,2,3,3,1,2,2,3,3,3,4,2,2,2,2,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,559,1,2,1
1,8,1.4729999999999999,7,5,-1.0448000000000004,1,1,0.7532,0,-0.3436,2,-2.4880000000000004,1,-1.3010000000000002,3,-6.7623999999999995,0,-2.9496,0,White,On-campus (residence hall),Male,0,-0.2482,8,0,0.0,-0.5745506169396439,-0.0,-1,-0.6,0.4,4,4,4,2,3,3,2,2,3,3,3,4,3,4,4,3.0,2.0,3.0,3.0,2.0,3.0,6.0,7.0,6.0,6.0,6.0,560,1,3,1
1,6,-0.5270000000000001,7,6,-0.044800000000000395,0,1,0.7532,0,-0.3436,2,-2.4880000000000004,4,1.6989999999999998,3,-6.7623999999999995,3,0.05039999999999978,1,Hispanic/Latino,With family (commuting),Female,1,0.7518,24,1,1.2419152854991158,0.6673646685594719,0.6673646685594719,31,2.6,3.6,2,3,2,4,4,3,2,3,3,3,2,3,2,2,2,5.0,5.0,5.0,,5.0,5.0,5.0,6.0,,5.0,5.0,561,2,5,1
0,5,-1.5270000000000001,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,4,1.6989999999999998,3,-6.7623999999999995,28,25.0504,1,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,4,0,0.0,-0.5745506169396439,-0.0,11,0.6000000000000001,1.6,3,3,3,3,2,2,2,3,3,3,3,3,2,2,2,4.0,4.0,,3.0,4.0,4.0,5.0,5.0,5.0,5.0,,562,1,1,0
0,6,-0.5270000000000001,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,7,2.5119999999999996,2,-0.30100000000000016,13,3.2376000000000005,0,-2.9496,1,Asian,With family (commuting),Male,1,0.7518,9,0,0.0,-0.5745506169396439,-0.0,-8,-1.3,-0.30000000000000004,2,3,3,4,3,4,3,4,3,4,3,3,4,3,3,,,,4.0,4.0,5.0,,6.0,6.0,5.0,7.0,563,1,2,1
0,8,1.4729999999999999,7,5,-1.0448000000000004,1,0,-0.2468,1,0.6564,5,0.5119999999999996,2,-0.30100000000000016,35,25.2376,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,25,1,1.3528413053184967,0.7782906883788527,0.7782906883788527,-8,-1.3,-0.30000000000000004,3,3,3,2,2,3,2,2,3,3,3,3,4,3,3,3.0,3.0,4.0,4.0,3.0,4.0,7.0,7.0,7.0,7.0,7.0,564,2,6,1
0,7,0.47299999999999986,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,4,-0.48800000000000043,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,20,1,0.8766434174659515,0.3020928005263076,0.3020928005263076,21,1.6,2.6,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3.0,3.0,3.0,4.0,4.0,4.0,6.0,5.0,5.0,6.0,6.0,565,2,6,1
0,6,-0.5270000000000001,7,7,0.9551999999999996,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,1,White,With family (commuting),Male,1,0.7518,7,0,0.0,-0.5745506169396439,-0.0,21,1.6,2.6,3,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,,3.0,5.0,5.0,5.0,5.0,5.0,566,1,2,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,1,0,-0.2468,1,0.6564,5,0.5119999999999996,1,-1.3010000000000002,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,7,0,0.0,-0.5745506169396439,-0.0,-14,-1.9,-0.8999999999999999,2,2,2,3,4,3,3,3,4,3,4,3,4,3,4,3.0,4.0,4.0,4.0,3.0,4.0,5.0,6.0,5.0,5.0,5.0,567,1,3,1
1,6,-0.5270000000000001,6,7,0.9551999999999996,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Female,1,0.7518,0,0,0.0,-0.5745506169396439,-0.0,-10,-1.5,-0.5,3,4,4,3,3,3,4,3,3,4,4,3,4,4,4,3.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,568,0,1,0
